StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q11,Q12,Q14,Q13,Q14.1,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q7,Q7_8_TEXT,Q8_1,Random ID,Create New Field or Choose From Dropdown...,Set a Value Now,mTurkCode,game_type
Start Date,End Date,Response Type,Anonymized,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Anonymized,Anonymized,Distribution Channel,User Language,"Participation is voluntary
It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 10 minutes to complete.


What can I expect if I take part in this research?
As a participant, you will be asked to play a game using key presses. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $3 for this study.  

If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.



If you have any technical difficulties during the experiment, you can send an email to: auguralp@fas.harvard.edu



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:
• If your questions, concerns, or complaints are not being answered by the research team,
• If you cannot reach the research team,
• If you want to talk to someone besides the research team, or
• If you have questions about your rights as a research participant.","Before we begin, here are some checks to make sure you're paying attention.



John is taller than Paul. Who is shorter?","What is the color of grass?

The fresh, uncut grass. To make sure you are paying attention, we want you to select purple.",Anonymized,How many red squares were present in each level of the game you just played?,How many levels were there in the game?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please Specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,"How much experience do you have with playing computer games?
[1=None at all, 100=A lot] - 1",Random ID,Create New Field or Choose From Dropdown...,Set a Value Now,mTurkCode,unknown
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",Anonymized,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",Anonymized,Anonymized,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}",Anonymized,"{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_4_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_6_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_8_TEXT""}","{""ImportId"":""QID107_1""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""Set a Value Now""}","{""ImportId"":""mTurkCode""}",unknown
2021-12-08 09:20:12,2021-12-08 09:25:38,IP Address,Anonymized,100,325,True,2021-12-08 09:25:38,R_2X6GbKbsqY85ilT,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,50,Male,,White or European,,32,College Graduate (4 year),,81,33666,,,6937005,logic
2021-12-08 09:21:16,2021-12-08 09:26:46,IP Address,Anonymized,100,330,True,2021-12-08 09:26:46,R_2cbkce51gnKvF5f,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,100,Male,,White or European,,28,Some College,,92,87908,,,3740638,logic
2021-12-08 09:20:36,2021-12-08 09:27:00,IP Address,Anonymized,100,384,True,2021-12-08 09:27:00,R_x60jbVWs2l9rs1H,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,100,Male,,White or European,,37,High School or Equivalent,,100,43385,,,2375346,logic
2021-12-08 09:20:23,2021-12-08 09:27:35,IP Address,Anonymized,100,431,True,2021-12-08 09:27:35,R_22S9zqVgdONqnAB,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,50,Male,,Hispanic or Latino,,33,College Graduate (4 year),,61,37318,,,3158876,unknown
2021-12-08 09:22:41,2021-12-08 09:31:03,IP Address,Anonymized,100,502,True,2021-12-08 09:31:04,R_28Bz8VV23mIsH85,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,100,Female,,White or European,,27,College Graduate (4 year),,66,61617,,,4909944,logic
2021-12-08 09:21:19,2021-12-08 09:32:30,IP Address,Anonymized,100,670,True,2021-12-08 09:32:30,R_DbOAoD40p9ug1Vv,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,100,Male,,Black or African American,,39,High School or Equivalent,,100,63713,,,6328698,logic
2021-12-08 09:24:45,2021-12-08 09:32:49,IP Address,Anonymized,100,483,True,2021-12-08 09:32:49,R_3LYM5W7tn8UhtP8,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,100,Male,,White or European,,29,College Graduate (4 year),,25,76762,,,9023327,logic
2021-12-08 09:20:40,2021-12-08 09:33:13,IP Address,Anonymized,100,753,True,2021-12-08 09:33:13,R_1j8oHGQ0RcQDKXH,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,100,Female,,White or European,,69,Some College,,71,49397,,,3612953,logic
2021-12-08 09:26:41,2021-12-08 09:33:44,IP Address,Anonymized,100,422,True,2021-12-08 09:33:44,R_28YheNURFr1z9ND,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,Four,100,Male,,Black or African American,,36,College Graduate (4 year),,100,28081,,,5630243,logic
