StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att1,att2,mturk_id,completion_code,comp1,comp2,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q7,Q7_8_TEXT,Q8_1,Random ID,workerId,Set a Value Now,finished_game
Start Date,End Date,Response Type,Anonymized,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Anonymized,Anonymized,Distribution Channel,User Language,"Participation is voluntary
It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 40 minutes to complete.


What can I expect if I take part in this research?
As a participant, you will be asked to play a game using key presses. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 40 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $4 for this study.  

If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.



If you have any technical difficulties during the experiment, you can send an email to: auguralp@fas.harvard.edu



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:
• If your questions, concerns, or complaints are not being answered by the research team,
• If you cannot reach the research team,
• If you want to talk to someone besides the research team, or
• If you have questions about your rights as a research participant.","Before we begin, here are some checks to make sure you're paying attention.



John is taller than Paul. Who is shorter?","What is the color of grass?

The fresh, uncut grass. To make sure you are paying attention, we want you to select purple.",Anonymized,Important: Please enter the exact completion code you received at the end of the game.,How many red squares were present in each level of the game you just played?,How many levels were there in the game?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please Specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,"How much experience do you have with playing computer games?
[1=None at all, 100=A lot] - 1",Random ID,Anonymized,Set a Value Now,finished_game
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",Anonymized,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",Anonymized,Anonymized,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}",Anonymized,"{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_4_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_6_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_8_TEXT""}","{""ImportId"":""QID107_1""}","{""ImportId"":""Random ID""}",Anonymized,"{""ImportId"":""Set a Value Now""}","{""ImportId"":""finished_game""}"
2023-01-19 05:06:12,2023-01-19 05:49:57,IP Address,Anonymized,100,2625,True,2023-01-19 05:49:58,R_42yVHGKpxRyCJvX,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,6394-2448-8267-4694,Four,100,Female,,Mixed,,35,College Graduate (4 year),,91,91875,Anonymized,,yes
2023-01-19 05:35:15,2023-01-19 06:12:48,IP Address,Anonymized,100,2252,True,2023-01-19 06:12:48,R_2CkYLNKKmaG01uw,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,2141-0059-3204-7898,Four,100,Female,,White or European,,49,Some College,,70,15872,Anonymized,,yes
2023-01-19 05:43:17,2023-01-19 06:23:54,IP Address,Anonymized,100,2437,True,2023-01-19 06:23:55,R_3EYCicT0LdUO88M,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,7885-0419-8742-1067,Four,100,Male,,Hispanic or Latino,,38,College Graduate (4 year),,67,32594,Anonymized,,yes
2023-01-19 05:20:20,2023-01-19 06:27:37,IP Address,Anonymized,100,4036,True,2023-01-19 06:27:38,R_2WNe4HDInDLGQRX,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,1694-5204-1997-9893,Four,100,Female,,White or European,,46,College Graduate (4 year),,78,38343,Anonymized,,yes
2023-01-19 05:56:01,2023-01-19 06:35:18,IP Address,Anonymized,100,2357,True,2023-01-19 06:35:18,R_3PiZqTeRZjGTvXF,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,A3VV07FCCSZ7JY,Four,100,Male,,White or European,,49,Masters Degree (MS),,100,96637,Anonymized,,no
2023-01-19 05:07:35,2023-01-19 06:37:07,IP Address,Anonymized,100,5371,True,2023-01-19 06:37:08,R_22lc1BG2KSNNkx4,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,6795-0943-5141-3665,Four,100,Female,,Black or African American,,40,Masters Degree (MS),,100,81534,Anonymized,,yes
2023-01-19 05:59:27,2023-01-19 06:50:17,IP Address,Anonymized,100,3050,True,2023-01-19 06:50:18,R_2UX7KcIfdyhRKX3,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,6889-9012-5017-8414,Four,100,Female,,Mixed,,28,College Graduate (4 year),,85,20692,Anonymized,,yes
2023-01-19 06:52:48,2023-01-19 07:03:41,IP Address,Anonymized,100,652,True,2023-01-19 07:03:41,R_2SB5jLBofbI8hfD,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,A11TOEFVA0X3PL ,Four,10,Female,,White or European,,35,Masters Degree (MS),,74,30601,Anonymized,,no
2023-01-19 06:38:27,2023-01-19 07:12:17,IP Address,Anonymized,100,2030,True,2023-01-19 07:12:17,R_1N9eYXgGAcd2BCe,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,4601-6801-5031-0909,Four,100,Female,,Black or African American,,44,Masters Degree (MS),,100,44272,Anonymized,,yes
2023-01-19 06:26:40,2023-01-19 07:19:07,IP Address,Anonymized,100,3146,True,2023-01-19 07:19:07,R_W05GIqF3DIiTBUR,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,7775-1308-7262-2256,Four,100,Female,,Asian,,48,College Graduate (4 year),,100,93070,Anonymized,,yes
2023-01-19 07:13:42,2023-01-19 07:26:12,IP Address,Anonymized,100,750,True,2023-01-19 07:26:13,R_xtv047pwBpnl3LH,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,A1TW2BZRRS874Z,Four,50,Male,,White or European,,39,Some College,,94,81990,Anonymized,,no
2023-01-19 06:53:16,2023-01-19 07:31:38,IP Address,Anonymized,100,2301,True,2023-01-19 07:31:38,R_1JLX9ycfRaaAtJf,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,9705-7191-2113-7752,Four,100,Male,,White or European,,41,College Graduate (4 year),,100,10587,Anonymized,,yes
2023-01-19 07:06:53,2023-01-19 07:46:56,IP Address,Anonymized,100,2403,True,2023-01-19 07:46:58,R_1LO4m0d13nJMux1,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,0917-8926-9978-6712,Four,100,Female,,White or European,,48,College Graduate (4 year),,83,48494,Anonymized,,yes
2023-01-19 07:32:56,2023-01-19 07:56:12,IP Address,Anonymized,100,1396,True,2023-01-19 07:56:13,R_3jdglbdBknOAx2r,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,6396-6122-5157-0765,Four,50,Male,,White or European,,41,College Graduate (4 year),,75,21372,Anonymized,,yes
2023-01-19 07:29:28,2023-01-19 08:03:06,IP Address,Anonymized,100,2018,True,2023-01-19 08:03:06,R_3I6xizEeAzdWoIb,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,3133-7593-9533-2848,Four,100,Female,,White or European,,47,College Graduate (4 year),,75,62732,Anonymized,,yes
2023-01-19 07:34:08,2023-01-19 08:17:26,IP Address,Anonymized,100,2597,True,2023-01-19 08:17:27,R_2YeLxdyaY5nJ0PX,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,5036-0332-9020-4397,Ten,100,Male,,White or European,,57,Masters Degree (MS),,83,96018,Anonymized,,yes
2023-01-19 07:27:11,2023-01-19 08:23:58,IP Address,Anonymized,100,3407,True,2023-01-19 08:23:58,R_0v7G0eqbykagRJD,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,8794-4531-9370-4690,Four,100,Male,,White or European,,67,College Graduate (4 year),,71,32840,Anonymized,,yes
2023-01-19 07:10:49,2023-01-19 08:59:39,IP Address,Anonymized,100,6529,True,2023-01-19 08:59:39,R_3iqySYVJdUZtsU3,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,A3MN72E1H7H6IS,Four,100,Male,,White or European,,27,Doctoral Degree (PhD),,81,56786,Anonymized,,no
2023-01-19 08:45:16,2023-01-19 09:54:48,IP Address,Anonymized,100,4172,True,2023-01-19 09:54:49,R_2zbzDoAGElFvOiY,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,A1PTNS6H2RZTGL,Four,100,Male,,White or European,,27,Doctoral Degree (PhD),,88,68533,Anonymized,,no
2023-01-19 09:47:52,2023-01-19 10:07:59,IP Address,Anonymized,100,1206,True,2023-01-19 10:08:04,R_22WCvlomYfJAACv,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,5971-7114-3973-9929,Four,100,Male,,White or European,,28,College Graduate (4 year),,80,61472,Anonymized,,yes
2023-01-19 10:41:32,2023-01-19 11:13:18,IP Address,Anonymized,100,1905,True,2023-01-19 11:13:19,R_2RX6VDEIpygB8ad,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,8104-9635-1857-9893,Four,100,Male,,White or European,,49,College Graduate (4 year),,70,64082,Anonymized,,yes
2023-01-19 10:35:13,2023-01-19 11:41:04,IP Address,Anonymized,100,3950,True,2023-01-19 11:41:04,R_4Iw2UOfH5EkFwyd,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",John,Purple,Anonymized,8156-4258-6673-5814,Four,100,Female,,White or European,,28,Masters Degree (MS),,100,90485,Anonymized,,yes
2023-01-19 12:03:29,2023-01-19 12:29:26,IP Address,Anonymized,100,1557,True,2023-01-19 12:29:27,R_2Xc8p8RO03B54WG,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,2175-3990-2000-7589,Four,100,Male,,White or European,,47,College Graduate (4 year),,30,76097,Anonymized,,yes
2023-01-19 12:01:08,2023-01-19 13:08:45,IP Address,Anonymized,100,4056,True,2023-01-19 13:08:45,R_3DecBjzPa9sCjfY,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,8178-2987-5765-7919,Four,100,Female,,White or European,,32,Masters Degree (MS),,28,49048,Anonymized,,yes
2023-01-19 14:03:40,2023-01-19 15:01:49,IP Address,Anonymized,100,3488,True,2023-01-19 15:01:50,R_2algx4nXlRbnadA,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,5192-6144-7333-4701,Four,100,Female,,White or European,,45,College Graduate (4 year),,68,47470,Anonymized,,yes
2023-01-19 05:06:10,2023-01-19 05:08:12,IP Address,Anonymized,27,122,False,2023-01-26 05:08:20,R_2ZHPmN95RrJYgYM,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,43739,Anonymized,,
2023-01-19 05:06:56,2023-01-19 05:10:11,IP Address,Anonymized,27,195,False,2023-01-26 05:10:13,R_25XgM99rlswpCs4,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,82044,Anonymized,,
2023-01-19 05:09:06,2023-01-19 05:11:58,IP Address,Anonymized,27,171,False,2023-01-26 05:11:58,R_Y4U1qnUM01HvKpz,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,25096,Anonymized,,
2023-01-19 05:10:22,2023-01-19 05:13:24,IP Address,Anonymized,27,182,False,2023-01-26 05:13:25,R_32R5YImFE8Kbzem,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,74543,Anonymized,,
2023-01-19 05:14:16,2023-01-19 05:18:03,IP Address,Anonymized,27,227,False,2023-01-26 05:18:07,R_12DSmh7TV1UeChI,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,65245,Anonymized,,
2023-01-19 05:16:42,2023-01-19 05:19:50,IP Address,Anonymized,27,187,False,2023-01-26 05:19:54,R_w15d0Vhcoh1bqTL,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,48346,Anonymized,,
2023-01-19 05:26:56,2023-01-19 05:27:26,IP Address,Anonymized,27,30,False,2023-01-26 05:27:29,R_2BmNnobMlBFt6vA,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,33889,Anonymized,,
2023-01-19 05:29:14,2023-01-19 05:32:54,IP Address,Anonymized,27,220,False,2023-01-26 05:32:58,R_2wtxX2wj0Fg9oBZ,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,28502,Anonymized,,
2023-01-19 05:40:49,2023-01-19 05:50:38,IP Address,Anonymized,27,588,False,2023-01-26 05:50:39,R_272r6WFcCv6DUca,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,63578,Anonymized,,
2023-01-19 05:31:46,2023-01-19 05:50:39,IP Address,Anonymized,27,1132,False,2023-01-26 05:50:44,R_31TqJk6Bv6nGO1d,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,30708,Anonymized,,
2023-01-19 06:01:00,2023-01-19 06:10:53,IP Address,Anonymized,27,592,False,2023-01-26 06:10:55,R_2SIepXgJLwlRMAO,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,91796,Anonymized,,
2023-01-19 06:22:19,2023-01-19 06:25:46,IP Address,Anonymized,27,206,False,2023-01-26 06:25:48,R_C4DASfjaE0HPnxf,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,74628,Anonymized,,
2023-01-19 06:57:36,2023-01-19 06:58:02,IP Address,Anonymized,5,25,False,2023-01-26 06:58:05,R_3HU1gmW8Rpq7NaA,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",,,Anonymized,,,,,,,,,,,,51392,Anonymized,,
2023-01-19 11:21:29,2023-01-19 11:25:18,IP Address,Anonymized,27,228,False,2023-01-26 11:25:21,R_2VPAJgIiLj4A46Y,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,,,,,,,,,,,,22504,Anonymized,,
